TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-04-09,2025-04-09,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,8450.0,8541.0,8440.0,8484.42,8480.0,8420.0,,8502.04,,,221,1874582.08,25,F1,1,,,,,
2025-04-09,2025-04-09,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,8438.3,8589.99,8430.05,8518.9,8589.99,8438.3,,8518.9,,,269,2279928.59,61,F1,1,,,,,
2025-04-09,2025-04-09,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,8401.0,8525.0,8321.0,8513.29,8524.99,8432.14,,8512.92,,,2902,24547461.89,187,F1,1,,,,,
2025-04-09,2025-04-09,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,8423.55,8555.0,8415.0,8518.62,8520.0,8423.55,,8518.62,,,657,5555615.25,75,F1,1,,,,,
2025-04-09,2025-04-09,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,8421.79,8521.0,8371.0,8514.64,8521.0,8421.79,,8514.64,,,1891,15957099.55,99,F1,1,,,,,
2025-04-09,2025-04-09,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,8415.3,8600.0,8415.3,8539.96,8540.0,8471.18,,8539.96,,,452,3852929.71,61,F1,1,,,,,
2025-04-09,2025-04-09,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,8422.0,8539.0,8421.0,8517.15,8539.0,8430.0,,8517.15,,,198,1674136.16,49,F1,1,,,,,
2025-04-09,2025-04-09,CM,NSE,STK,304,IN0020170067,SGBOCT25IV,GB,,,,,2.50% GOLDBONDS2025SR-IV,8650.0,8650.0,8650.0,8650.0,8650.0,8584.64,,8650.0,,,1,8650.0,1,F1,1,,,,,
2025-04-09,2025-04-09,CM,NSE,STK,355,IN0020170075,SGBOCT25V,GB,,,,,2.50% GOLDBONDS2025SR-V,8700.0,8700.0,8700.0,8700.0,8700.0,8500.0,,8700.0,,,26,226200.0,1,F1,1,,,,,
2025-04-09,2025-04-09,CM,NSE,STK,398,IN0020170083,SGBNOV25VI,GB,,,,,2.50% GOLDBONDS2025SR-VI,8500.0,8500.0,8500.0,8500.0,8500.0,8499.0,,8500.0,,,1,8500.0,1,F1,1,,,,,
2025-04-09,2025-04-09,CM,NSE,STK,623,IN0020170125,SGBDEC25,GB,,,,,2.50%GOLDBONDS 2025 SR-X,8799.0,8850.0,8740.0,8850.0,8850.0,8775.0,,8850.0,,,6,52754.0,6,F1,1,,,,,
