symbol,status,time,output
NIFTY,success,567.5852773189545,./Nse_files/2026/NIFTY_FuData_Generated.xlsx
BANKNIFTY,success,567.3562664985657,./Nse_files/2026/BANKNIFTY_FuData_Generated.xlsx
FINNIFTY,success,580.331481218338,./Nse_files/2026/FINNIFTY_FuData_Generated.xlsx
MIDCPNIFTY,success,568.369268655777,./Nse_files/2026/MIDCPNIFTY_FuData_Generated.xlsx
NIFTYNXT50,success,562.3369483947754,./Nse_files/2026/NIFTYNXT50_FuData_Generated.xlsx
360ONE,success,572.5154850482941,./Nse_files/2026/360ONE_FuData_Generated.xlsx
ABB,success,590.9087872505188,./Nse_files/2026/ABB_FuData_Generated.xlsx
APLAPOLLO,success,574.7874808311462,./Nse_files/2026/APLAPOLLO_FuData_Generated.xlsx
AUBANK,success,568.1412699222565,./Nse_files/2026/AUBANK_FuData_Generated.xlsx
ADANIENSOL,success,573.1584866046906,./Nse_files/2026/ADANIENSOL_FuData_Generated.xlsx
ADANIENT,success,579.3575162887573,./Nse_files/2026/ADANIENT_FuData_Generated.xlsx
ADANIGREEN,success,572.0224831104279,./Nse_files/2026/ADANIGREEN_FuData_Generated.xlsx
ADANIPORTS,success,658.726320028305,./Nse_files/2026/ADANIPORTS_FuData_Generated.xlsx
ABCAPITAL,success,660.5297017097473,./Nse_files/2026/ABCAPITAL_FuData_Generated.xlsx
ALKEM,success,661.9916322231293,./Nse_files/2026/ALKEM_FuData_Generated.xlsx
AMBER,success,659.9466807842255,./Nse_files/2026/AMBER_FuData_Generated.xlsx
AMBUJACEM,success,659.4097199440002,./Nse_files/2026/AMBUJACEM_FuData_Generated.xlsx
ANGELONE,success,660.2146167755127,./Nse_files/2026/ANGELONE_FuData_Generated.xlsx
APOLLOHOSP,success,658.9095377922058,./Nse_files/2026/APOLLOHOSP_FuData_Generated.xlsx
ASHOKLEY,success,659.9896056652069,./Nse_files/2026/ASHOKLEY_FuData_Generated.xlsx
ASIANPAINT,success,661.2496311664581,./Nse_files/2026/ASIANPAINT_FuData_Generated.xlsx
ASTRAL,success,665.9813878536224,./Nse_files/2026/ASTRAL_FuData_Generated.xlsx
AUROPHARMA,success,667.4214253425598,./Nse_files/2026/AUROPHARMA_FuData_Generated.xlsx
DMART,success,669.4291746616364,./Nse_files/2026/DMART_FuData_Generated.xlsx
AXISBANK,success,635.832674741745,./Nse_files/2026/AXISBANK_FuData_Generated.xlsx
BSE,success,634.0179784297943,./Nse_files/2026/BSE_FuData_Generated.xlsx
BAJAJ-AUTO,success,635.6369755268097,./Nse_files/2026/BAJAJ-AUTO_FuData_Generated.xlsx
BAJFINANCE,success,640.8554129600525,./Nse_files/2026/BAJFINANCE_FuData_Generated.xlsx
BAJAJFINSV,success,638.6774618625641,./Nse_files/2026/BAJAJFINSV_FuData_Generated.xlsx
BAJAJHLDNG,success,241.1174120903015,./Nse_files/2026/BAJAJHLDNG_FuData_Generated.xlsx
BANDHANBNK,success,630.4678061008453,./Nse_files/2026/BANDHANBNK_FuData_Generated.xlsx
BANKBARODA,success,636.2482695579529,./Nse_files/2026/BANKBARODA_FuData_Generated.xlsx
BANKINDIA,success,633.1612746715546,./Nse_files/2026/BANKINDIA_FuData_Generated.xlsx
BDL,success,637.7799706459045,./Nse_files/2026/BDL_FuData_Generated.xlsx
BEL,success,637.1389565467834,./Nse_files/2026/BEL_FuData_Generated.xlsx
BHARATFORG,success,640.4254009723663,./Nse_files/2026/BHARATFORG_FuData_Generated.xlsx
BHEL,success,644.300701379776,./Nse_files/2026/BHEL_FuData_Generated.xlsx
BPCL,success,637.2771332263947,./Nse_files/2026/BPCL_FuData_Generated.xlsx
BHARTIARTL,success,637.3441004753113,./Nse_files/2026/BHARTIARTL_FuData_Generated.xlsx
BIOCON,success,634.4850990772247,./Nse_files/2026/BIOCON_FuData_Generated.xlsx
BLUESTARCO,success,637.2648966312408,./Nse_files/2026/BLUESTARCO_FuData_Generated.xlsx
BOSCHLTD,success,643.1379344463348,./Nse_files/2026/BOSCHLTD_FuData_Generated.xlsx
BRITANNIA,success,637.8569746017456,./Nse_files/2026/BRITANNIA_FuData_Generated.xlsx
CGPOWER,success,643.9459710121155,./Nse_files/2026/CGPOWER_FuData_Generated.xlsx
CANBK,success,641.4670145511627,./Nse_files/2026/CANBK_FuData_Generated.xlsx
CDSL,success,643.744457244873,./Nse_files/2026/CDSL_FuData_Generated.xlsx
CHOLAFIN,success,643.9980969429016,./Nse_files/2026/CHOLAFIN_FuData_Generated.xlsx
CIPLA,success,648.8272886276245,./Nse_files/2026/CIPLA_FuData_Generated.xlsx
COALINDIA,success,641.0610666275024,./Nse_files/2026/COALINDIA_FuData_Generated.xlsx
COFORGE,success,633.3890111446381,./Nse_files/2026/COFORGE_FuData_Generated.xlsx
COLPAL,success,633.425003528595,./Nse_files/2026/COLPAL_FuData_Generated.xlsx
CAMS,success,633.6090044975281,./Nse_files/2026/CAMS_FuData_Generated.xlsx
CONCOR,success,632.2292234897614,./Nse_files/2026/CONCOR_FuData_Generated.xlsx
CROMPTON,success,630.5677223205566,./Nse_files/2026/CROMPTON_FuData_Generated.xlsx
CUMMINSIND,success,632.6978282928467,./Nse_files/2026/CUMMINSIND_FuData_Generated.xlsx
DLF,success,629.472817659378,./Nse_files/2026/DLF_FuData_Generated.xlsx
DABUR,success,633.748804807663,./Nse_files/2026/DABUR_FuData_Generated.xlsx
DALBHARAT,success,634.5157580375671,./Nse_files/2026/DALBHARAT_FuData_Generated.xlsx
DELHIVERY,success,634.4013352394104,./Nse_files/2026/DELHIVERY_FuData_Generated.xlsx
DIVISLAB,success,624.649747133255,./Nse_files/2026/DIVISLAB_FuData_Generated.xlsx
DIXON,success,580.7718605995178,./Nse_files/2026/DIXON_FuData_Generated.xlsx
DRREDDY,success,550.4838743209839,./Nse_files/2026/DRREDDY_FuData_Generated.xlsx
ETERNAL,success,552.138121843338,./Nse_files/2026/ETERNAL_FuData_Generated.xlsx
EICHERMOT,success,547.2543127536774,./Nse_files/2026/EICHERMOT_FuData_Generated.xlsx
EXIDEIND,success,552.2981202602386,./Nse_files/2026/EXIDEIND_FuData_Generated.xlsx
NYKAA,success,542.1563012599945,./Nse_files/2026/NYKAA_FuData_Generated.xlsx
FORTIS,success,544.6480219364166,./Nse_files/2026/FORTIS_FuData_Generated.xlsx
GAIL,success,556.1442744731903,./Nse_files/2026/GAIL_FuData_Generated.xlsx
GMRAIRPORT,success,548.1593158245087,./Nse_files/2026/GMRAIRPORT_FuData_Generated.xlsx
GLENMARK,success,561.6315522193909,./Nse_files/2026/GLENMARK_FuData_Generated.xlsx
GODREJCP,success,556.2495131492615,./Nse_files/2026/GODREJCP_FuData_Generated.xlsx
GODREJPROP,success,559.8010845184326,./Nse_files/2026/GODREJPROP_FuData_Generated.xlsx
GRASIM,success,553.3431060314178,./Nse_files/2026/GRASIM_FuData_Generated.xlsx
HCLTECH,success,553.490754365921,./Nse_files/2026/HCLTECH_FuData_Generated.xlsx
HDFCAMC,success,557.7943363189697,./Nse_files/2026/HDFCAMC_FuData_Generated.xlsx
HDFCBANK,success,560.7653167247772,./Nse_files/2026/HDFCBANK_FuData_Generated.xlsx
HDFCLIFE,success,558.2465150356293,./Nse_files/2026/HDFCLIFE_FuData_Generated.xlsx
HAVELLS,success,556.1945111751556,./Nse_files/2026/HAVELLS_FuData_Generated.xlsx
HEROMOTOCO,success,565.019430398941,./Nse_files/2026/HEROMOTOCO_FuData_Generated.xlsx
HINDALCO,success,561.0151793956757,./Nse_files/2026/HINDALCO_FuData_Generated.xlsx
HAL,success,566.7161815166473,./Nse_files/2026/HAL_FuData_Generated.xlsx
HINDPETRO,success,567.4169626235962,./Nse_files/2026/HINDPETRO_FuData_Generated.xlsx
HINDUNILVR,success,575.7170011997223,./Nse_files/2026/HINDUNILVR_FuData_Generated.xlsx
HINDZINC,success,578.0278816223145,./Nse_files/2026/HINDZINC_FuData_Generated.xlsx
POWERINDIA,success,590.5543646812439,./Nse_files/2026/POWERINDIA_FuData_Generated.xlsx
HUDCO,success,583.240861415863,./Nse_files/2026/HUDCO_FuData_Generated.xlsx
ICICIBANK,success,590.6393449306488,./Nse_files/2026/ICICIBANK_FuData_Generated.xlsx
ICICIGI,success,586.294347524643,./Nse_files/2026/ICICIGI_FuData_Generated.xlsx
ICICIPRULI,success,584.1823496818542,./Nse_files/2026/ICICIPRULI_FuData_Generated.xlsx
IDFCFIRSTB,success,583.9673523902893,./Nse_files/2026/IDFCFIRSTB_FuData_Generated.xlsx
IIFL,success,499.2512309551239,./Nse_files/2026/IIFL_FuData_Generated.xlsx
ITC,success,583.5649466514587,./Nse_files/2026/ITC_FuData_Generated.xlsx
INDIANB,success,579.8232781887054,./Nse_files/2026/INDIANB_FuData_Generated.xlsx
IEX,success,574.2798533439636,./Nse_files/2026/IEX_FuData_Generated.xlsx
IOC,success,566.9321026802063,./Nse_files/2026/IOC_FuData_Generated.xlsx
IRCTC,success,548.1662526130676,./Nse_files/2026/IRCTC_FuData_Generated.xlsx
IRFC,success,432.81716799736023,./Nse_files/2026/IRFC_FuData_Generated.xlsx
IREDA,success,239.19444370269775,./Nse_files/2026/IREDA_FuData_Generated.xlsx
INDUSTOWER,success,185.96869564056396,./Nse_files/2026/INDUSTOWER_FuData_Generated.xlsx
INDUSINDBK,success,176.81437373161316,./Nse_files/2026/INDUSINDBK_FuData_Generated.xlsx
NAUKRI,success,609.9353530406952,./Nse_files/2026/NAUKRI_FuData_Generated.xlsx
INFY,success,600.9457206726074,./Nse_files/2026/INFY_FuData_Generated.xlsx
INOXWIND,success,609.4913854598999,./Nse_files/2026/INOXWIND_FuData_Generated.xlsx
INDIGO,success,608.5373547077179,./Nse_files/2026/INDIGO_FuData_Generated.xlsx
JINDALSTEL,success,602.9561393260956,./Nse_files/2026/JINDALSTEL_FuData_Generated.xlsx
JSWENERGY,success,609.5653448104858,./Nse_files/2026/JSWENERGY_FuData_Generated.xlsx
JSWSTEEL,success,606.1142814159393,./Nse_files/2026/JSWSTEEL_FuData_Generated.xlsx
JIOFIN,success,606.5423505306244,./Nse_files/2026/JIOFIN_FuData_Generated.xlsx
JUBLFOOD,success,605.3813915252686,./Nse_files/2026/JUBLFOOD_FuData_Generated.xlsx
KEI,success,603.0271353721619,./Nse_files/2026/KEI_FuData_Generated.xlsx
KPITTECH,success,609.5113861560822,./Nse_files/2026/KPITTECH_FuData_Generated.xlsx
KALYANKJIL,success,610.120356798172,./Nse_files/2026/KALYANKJIL_FuData_Generated.xlsx
KAYNES,success,570.4805021286011,./Nse_files/2026/KAYNES_FuData_Generated.xlsx
KFINTECH,success,570.8400506973267,./Nse_files/2026/KFINTECH_FuData_Generated.xlsx
