symbol,current_date,underlying
NIFTY,2026-01-12,Nifty 50
BANKNIFTY,2026-01-12,Nifty BANK
FINNIFTY,2026-01-12,Nifty FINANCIAL SERVICES
MIDCPNIFTY,2026-01-12,Nifty MIDCAP SELECT
NIFTYNXT50,2026-01-12,Nifty NEXT 50
360ONE,2026-01-12,360 ONE WAM LIMITED
ABB,2026-01-12,ABB India Limited
APLAPOLLO,2026-01-12,APL Apollo Tubes Limited
AUBANK,2026-01-12,AU Small Finance Bank Limited
ADANIENSOL,2026-01-12,Adani Energy Solutions Limited
ADANIENT,2026-01-12,Adani Enterprises Limited
ADANIGREEN,2026-01-12,Adani Green Energy Limited
ADANIPORTS,2026-01-12,Adani Ports and Special Economic Zone Limited
ABCAPITAL,2026-01-12,Aditya Birla Capital Limited
ALKEM,2026-01-12,Alkem Laboratories Limited
AMBER,2026-01-12,Amber Enterprises India Limited
AMBUJACEM,2026-01-12,Ambuja Cements Limited
ANGELONE,2026-01-12,Angel One Limited
APOLLOHOSP,2026-01-12,Apollo Hospitals Enterprise Limited
ASHOKLEY,2026-01-12,Ashok Leyland Limited
ASIANPAINT,2026-01-12,Asian Paints Limited
ASTRAL,2026-01-12,Astral Limited
AUROPHARMA,2026-01-12,Aurobindo Pharma Limited
DMART,2026-01-12,Avenue Supermarts Limited
AXISBANK,2026-01-12,Axis Bank Limited
BSE,2026-01-12,BSE Limited
BAJAJ-AUTO,2026-01-12,Bajaj Auto Limited
BAJFINANCE,2026-01-12,Bajaj Finance Limited
BAJAJFINSV,2026-01-12,Bajaj Finserv Limited
BAJAJHLDNG,2026-01-12,Bajaj Holdings & Investment Limited
BANDHANBNK,2026-01-12,Bandhan Bank Limited
BANKBARODA,2026-01-12,Bank of Baroda
BANKINDIA,2026-01-12,Bank of India
BDL,2026-01-12,Bharat Dynamics Limited
BEL,2026-01-12,Bharat Electronics Limited
BHARATFORG,2026-01-12,Bharat Forge Limited
BHEL,2026-01-12,Bharat Heavy Electricals Limited
BPCL,2026-01-12,Bharat Petroleum Corporation Limited
BHARTIARTL,2026-01-12,Bharti Airtel Limited
BIOCON,2026-01-12,Biocon Limited
BLUESTARCO,2026-01-12,Blue Star Limited
BOSCHLTD,2026-01-12,Bosch Limited
BRITANNIA,2026-01-12,Britannia Industries Limited
CGPOWER,2026-01-12,CG Power and Industrial Solutions Limited
CANBK,2026-01-12,Canara Bank
CDSL,2026-01-12,Central Depository Services (India) Limited
CHOLAFIN,2026-01-12,Cholamandalam Investment and Finance Company Limited
CIPLA,2026-01-12,Cipla Limited
COALINDIA,2026-01-12,Coal India Limited
COFORGE,2026-01-12,Coforge Limited
COLPAL,2026-01-12,Colgate Palmolive (India) Limited
CAMS,2026-01-12,Computer Age Management Services Limited
CONCOR,2026-01-12,Container Corporation of India Limited
CROMPTON,2026-01-12,Crompton Greaves Consumer Electricals Limited
CUMMINSIND,2026-01-12,Cummins India Limited
DLF,2026-01-12,DLF Limited
DABUR,2026-01-12,Dabur India Limited
DALBHARAT,2026-01-12,Dalmia Bharat Limited
DELHIVERY,2026-01-12,Delhivery Limited
DIVISLAB,2026-01-12,Divi's Laboratories Limited
DIXON,2026-01-12,Dixon Technologies (India) Limited
DRREDDY,2026-01-12,Dr. Reddy's Laboratories Limited
ETERNAL,2026-01-12,ETERNAL LIMITED
EICHERMOT,2026-01-12,Eicher Motors Limited
EXIDEIND,2026-01-12,Exide Industries Limited
NYKAA,2026-01-12,FSN E-Commerce Ventures Limited
FORTIS,2026-01-12,Fortis Healthcare Limited
GAIL,2026-01-12,GAIL (India) Limited
GMRAIRPORT,2026-01-12,GMR AIRPORTS LIMITED
GLENMARK,2026-01-12,Glenmark Pharmaceuticals Limited
GODREJCP,2026-01-12,Godrej Consumer Products Limited
GODREJPROP,2026-01-12,Godrej Properties Limited
GRASIM,2026-01-12,Grasim Industries Limited
HCLTECH,2026-01-12,HCL Technologies Limited
HDFCAMC,2026-01-12,HDFC Asset Management Company Limited
HDFCBANK,2026-01-12,HDFC Bank Limited
HDFCLIFE,2026-01-12,HDFC Life Insurance Company Limited
HAVELLS,2026-01-12,Havells India Limited
HEROMOTOCO,2026-01-12,Hero MotoCorp Limited
HINDALCO,2026-01-12,Hindalco Industries Limited
HAL,2026-01-12,Hindustan Aeronautics Limited
HINDPETRO,2026-01-12,Hindustan Petroleum Corporation Limited
HINDUNILVR,2026-01-12,Hindustan Unilever Limited
HINDZINC,2026-01-12,Hindustan Zinc Limited
POWERINDIA,2026-01-12,Hitachi Energy India Limited
